Database Size,File Path,Memory Usage (bytes)
0,ProgramData/61/510.txt,51968
1,ProgramData/61/538.txt,51553
2,ProgramData/61/1537.txt,51553
3,ProgramData/61/1251.txt,51553
4,ProgramData/61/921.txt,51553
5,ProgramData/61/935.txt,51553
6,ProgramData/61/1292.txt,51553
7,ProgramData/61/29.txt,51553
8,ProgramData/61/869.txt,51553
9,ProgramData/61/1319.txt,51553
10,ProgramData/61/855.txt,51553
11,ProgramData/61/1480.txt,51553
12,ProgramData/61/114.txt,51553
13,ProgramData/61/666.txt,51553
14,ProgramData/61/1127.txt,51553
15,ProgramData/61/1133.txt,51553
16,ProgramData/61/470.txt,51553
17,ProgramData/61/129.txt,51553
18,ProgramData/61/101.txt,51553
19,ProgramData/61/1481.txt,51553
20,ProgramData/61/673.txt,51553
21,ProgramData/61/1318.txt,51553
22,ProgramData/61/14.txt,51553
23,ProgramData/61/713.txt,51553
24,ProgramData/61/1293.txt,51553
25,ProgramData/61/920.txt,51553
26,ProgramData/61/908.txt,51553
27,ProgramData/61/1522.txt,51553
28,ProgramData/61/1536.txt,51553
29,ProgramData/61/511.txt,51553
30,ProgramData/61/288.txt,51553
31,ProgramData/61/1046.txt,51553
32,ProgramData/61/261.txt,51553
33,ProgramData/61/1252.txt,51553
34,ProgramData/61/1534.txt,51553
35,ProgramData/61/936.txt,51553
36,ProgramData/61/1508.txt,51553
37,ProgramData/61/1285.txt,51553
38,ProgramData/61/705.txt,51553
39,ProgramData/61/739.txt,51553
40,ProgramData/61/1332.txt,51553
41,ProgramData/61/1440.txt,51553
42,ProgramData/61/1468.txt,51553
43,ProgramData/61/856.txt,51553
44,ProgramData/61/671.txt,51553
45,ProgramData/61/1124.txt,51553
46,ProgramData/61/467.txt,51553
47,ProgramData/61/329.txt,51553
48,ProgramData/61/1119.txt,51553
49,ProgramData/61/894.txt,51553
50,ProgramData/61/880.txt,51553
51,ProgramData/61/116.txt,51553
52,ProgramData/61/1482.txt,51553
53,ProgramData/61/17.txt,51553
54,ProgramData/61/1290.txt,51553
55,ProgramData/61/1284.txt,51553
56,ProgramData/61/710.txt,51553
57,ProgramData/61/1535.txt,51553
58,ProgramData/61/1521.txt,51553
59,ProgramData/61/1086.txt,51553
60,ProgramData/61/1079.txt,51553
61,ProgramData/61/1069.txt,51553
62,ProgramData/61/270.txt,51553
63,ProgramData/61/1082.txt,51553
64,ProgramData/61/933.txt,51553
65,ProgramData/61/1257.txt,51553
66,ProgramData/61/1280.txt,51553
67,ProgramData/61/1294.txt,51553
68,ProgramData/61/1479.txt,51553
69,ProgramData/61/1445.txt,51553
70,ProgramData/61/1323.txt,51553
71,ProgramData/61/884.txt,51553
72,ProgramData/61/890.txt,51553
73,ProgramData/61/1486.txt,51553
74,ProgramData/61/674.txt,51553
75,ProgramData/61/489.txt,51553
76,ProgramData/61/1135.txt,51553
77,ProgramData/61/477.txt,51553
78,ProgramData/61/311.txt,51553
79,ProgramData/61/339.txt,51553
80,ProgramData/61/885.txt,51553
81,ProgramData/61/1450.txt,51553
82,ProgramData/61/1478.txt,51553
83,ProgramData/61/846.txt,51553
84,ProgramData/61/1295.txt,51553
85,ProgramData/61/1281.txt,51553
86,ProgramData/61/729.txt,51553
87,ProgramData/61/1530.txt,51553
88,ProgramData/61/1256.txt,51553
89,ProgramData/61/926.txt,51553
90,ProgramData/61/932.txt,51553
91,ProgramData/61/1097.txt,51553
92,ProgramData/61/517.txt,51553
93,ProgramData/61/1040.txt,51553
94,ProgramData/61/515.txt,51553
95,ProgramData/61/273.txt,51553
96,ProgramData/61/930.txt,51553
97,ProgramData/61/918.txt,51553
98,ProgramData/61/1532.txt,51553
99,ProgramData/61/1526.txt,51553
100,ProgramData/61/688.txt,51553
101,ProgramData/61/10.txt,51553
102,ProgramData/61/1320.txt,51553
103,ProgramData/61/1446.txt,51553
104,ProgramData/61/139.txt,51553
105,ProgramData/61/111.txt,51553
106,ProgramData/61/1491.txt,51553
107,ProgramData/61/663.txt,51553
108,ProgramData/61/449.txt,51553
109,ProgramData/61/306.txt,51553
110,ProgramData/61/312.txt,51553
111,ProgramData/61/104.txt,51553
112,ProgramData/61/1484.txt,51553
113,ProgramData/61/886.txt,51553
114,ProgramData/61/892.txt,51553
115,ProgramData/61/1453.txt,51553
116,ProgramData/61/39.txt,51553
117,ProgramData/61/845.txt,51553
118,ProgramData/61/851.txt,51553
