Database Size,File Path,Memory Usage (bytes)
0,ProgramData/61/510.txt,15103
1,ProgramData/61/538.txt,14688
2,ProgramData/61/1537.txt,14688
3,ProgramData/61/1251.txt,14688
4,ProgramData/61/921.txt,14688
5,ProgramData/61/935.txt,14688
6,ProgramData/61/1292.txt,14688
7,ProgramData/61/29.txt,14688
8,ProgramData/61/869.txt,14688
9,ProgramData/61/1319.txt,14688
10,ProgramData/61/855.txt,14688
11,ProgramData/61/1480.txt,14688
12,ProgramData/61/114.txt,14688
13,ProgramData/61/666.txt,14688
14,ProgramData/61/1127.txt,14688
15,ProgramData/61/1133.txt,14688
16,ProgramData/61/470.txt,14688
17,ProgramData/61/129.txt,14688
18,ProgramData/61/101.txt,14688
19,ProgramData/61/1481.txt,14688
20,ProgramData/61/673.txt,14688
21,ProgramData/61/1318.txt,14688
22,ProgramData/61/14.txt,14688
23,ProgramData/61/713.txt,14688
24,ProgramData/61/1293.txt,14688
25,ProgramData/61/920.txt,14688
26,ProgramData/61/908.txt,14688
27,ProgramData/61/1522.txt,14688
28,ProgramData/61/1536.txt,14688
29,ProgramData/61/511.txt,14688
30,ProgramData/61/288.txt,14688
31,ProgramData/61/1046.txt,14688
32,ProgramData/61/261.txt,14688
33,ProgramData/61/1252.txt,14688
34,ProgramData/61/1534.txt,14688
35,ProgramData/61/936.txt,14688
36,ProgramData/61/1508.txt,14688
37,ProgramData/61/1285.txt,14688
38,ProgramData/61/705.txt,14688
39,ProgramData/61/739.txt,14688
40,ProgramData/61/1332.txt,14688
41,ProgramData/61/1440.txt,14688
42,ProgramData/61/1468.txt,14688
43,ProgramData/61/856.txt,14688
44,ProgramData/61/671.txt,14688
45,ProgramData/61/1124.txt,14688
46,ProgramData/61/467.txt,14688
47,ProgramData/61/329.txt,14688
48,ProgramData/61/1119.txt,14688
49,ProgramData/61/894.txt,14688
50,ProgramData/61/880.txt,14688
51,ProgramData/61/116.txt,14688
52,ProgramData/61/1482.txt,14688
53,ProgramData/61/17.txt,14688
54,ProgramData/61/1290.txt,14688
55,ProgramData/61/1284.txt,14688
56,ProgramData/61/710.txt,14688
57,ProgramData/61/1535.txt,14688
58,ProgramData/61/1521.txt,14688
59,ProgramData/61/1086.txt,14688
60,ProgramData/61/1079.txt,14688
61,ProgramData/61/1069.txt,14688
62,ProgramData/61/270.txt,14688
63,ProgramData/61/1082.txt,14688
64,ProgramData/61/933.txt,14688
